metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Monroe, LA",116533,923,82,3647000
"Billings, MT",114773,905,53,2610000
"Boulder, CO",114591,447,32,2077000
"Bellingham, WA",114473,528,48,2285000
"Seaside--Monterey, CA",114237,502,39,2571000
"Kailua (Honolulu County)--Kaneohe, HI",113682,282,39,2044000
"Waterloo, IA",113418,877,62,2223000
"Lady Lake--The Villages, FL",112991,1041,71,3662000
"Dover, DE",110769,671,74,2985000
"St. Cloud, MN",110621,733,50,2275000
"Abilene, TX",110421,881,55,2942000
"Waldorf, MD",109919,566,68,2866000
"Mayaguez, PR",109572,542,54,1038000
"Burlington, VT",108740,577,62,2797000
"Bloomington, IN",108657,508,45,2265000
"Pottstown, PA",107682,668,79,1962000
"Rochester, MN",107677,698,51,2513000
"El Centro--Calexico, CA",107672,370,30,1278000
"Iowa City, IA",106621,533,46,2216000
"Kingsport, TN--VA",106571,982,114,3439000
"Sioux City, IA--NE--SD",106494,785,54,2187000
"Texas City, TX",106383,1060,76,4913000
"Jacksonville, NC",105419,411,71,2056000
"Rock Hill, SC",104996,1439,96,5888000
"Norman, OK",103898,604,45,2564000
"Eau Claire, WI",102852,875,69,2981000
"La Crosse, WI--MN",100868,638,51,2266000
"Holland, MI",99941,568,59,2563000
"Turlock, CA",99904,380,26,2220000
"Wichita Falls, TX",99437,662,50,2083000
"Longview, TX",98884,929,83,3012000
"Gilroy--Morgan Hill, CA",98413,361,45,2786000
"Coeur d'Alene, ID",98378,754,47,2600000
"St. George, UT",98370,815,45,3819000
"Chico, CA",98176,386,34,1435000
"Salisbury, MD--DE",98081,712,71,2536000
"Middletown, OH",97503,536,56,2366000
"Albany, GA",95779,853,71,2607000
"Vineland, NJ",95259,787,62,2992000
"Logan, UT",94983,542,44,1786000
"Lawton, OK",94457,544,44,1428000
"Decatur, IL",93863,763,59,1748000
"Vacaville, CA",93141,324,27,2384000
"San Angelo, TX",92984,726,47,1791000
"Terre Haute, IN",92742,821,53,2881000
"Charlottesville, VA",92359,362,35,2506000
"Slidell, LA",91151,778,59,2970000
"Yauco, PR",90899,458,47,745000
"Longmont, CO",90897,418,26,1637000
"Idaho Falls, ID",90733,598,45,2036000
"Muncie, IN",90580,604,47,1892000
"Temple, TX",90390,834,54,4574000
"Jackson, MI",90057,595,58,2160000
"Florence, SC",89557,935,71,3146000
"Santa Fe, NM",89284,734,53,2104000
